brand    model                                    name  count
  kia  sorento             kia sorento 2.4 gat premium      3
  kia  sorento                 kia sorento 2.5 at crdi      1
  kia  sorento                        kia sorento dath     29
  kia  sorento                         kia sorento gat      5
  kia  sorento                    kia sorento gat 2.4l     12
  kia  sorento                        kia sorento gath     15
  kia  sorento                    kia sorento gmt 2.4l      1
  kia  sorento               kia sorento luxury 2.2 at      6
  kia  sorento              kia sorento premium 2.2 at      2
  kia  sorento             kia sorento premium 2.2d at      8
  kia  sorento              kia sorento premium 2.5 at      2
  kia  sorento     kia sorento signature 1.6 at hybrid      3
  kia  sorento            kia sorento signature 2.2 at     28
  kia  sorento         kia sorento signature 2.2 at 6s      8
  kia  sorento         kia sorento signature 2.2 at 7s     15
  kia  sorento           kia sorento signature 2.2d at      1
  kia  sorento            kia sorento signature 2.5 at     13
  kia  sorento         kia sorento signature 2.5 at 6s      2
  kia  sorento         kia sorento signature 2.5 at 7s      1
  kia     soul                      kia soul 4u 1.6 at      3
  kia  spectra                      kia spectra 1.6 mt      7
  kia sportage                     kia sportage 2.0 at      3
  kia sportage        kia sportage limited 2.0 at crdi      1
  kia sportage                kia sportage luxury 2.0g      1
  kia sportage               kia sportage premium 2.0g     11
  kia sportage             kia sportage signature 1.6t     14
  kia sportage             kia sportage signature 2.0d      4
  kia sportage             kia sportage signature 2.0g     11
  kia sportage      kia sportage signature x line 1.6t     12
  kia sportage      kia sportage signature x line 2.0d      4
  kia sportage      kia sportage signature x line 2.0g      8
  kia sportage                 kia sportage txl 2.0 at      1
