 brand         model                                   name  count
toyota  land cruiser        toyota land cruiser vx.r 5.7 v8      3
toyota  land cruiser         toyota land cruiser vxr 3.5 v6      6
toyota         prado                 toyota prado gx 2.7 at      9
toyota         prado                 toyota prado gx 2.7 mt      2
toyota         prado                 toyota prado gx 3.0 mt      1
toyota         prado                toyota prado lc250 2.4l     13
toyota         prado                  toyota prado txl 2.7l     42
toyota         prado                   toyota prado vx 2.7l    103
toyota         prado                 toyota prado vx 4.0 at      2
toyota        previa                   toyota previa 2.4 at      2
toyota        previa                toyota previa gl 2.4 at      1
toyota         prius                    toyota prius 1.5 at      1
toyota         raize                 toyota raize g 1.0 cvt     58
toyota          rav4                     toyota rav4 2.4 at      2
toyota          rav4                     toyota rav4 2.4 mt      1
toyota          rav4                     toyota rav4 2.5 at      1
toyota          rav4                toyota rav4 limited 2.4      1
toyota          rav4             toyota rav4 limited 2.4 at      1
toyota          rav4             toyota rav4 limited 2.5 at      1
toyota          rav4                    toyota rav4 xle 2.5      1
toyota          rush                    toyota rush 1.5s at     26
toyota        sienna                   toyota sienna le 2.7      1
toyota        sienna                   toyota sienna le 3.3      2
toyota        sienna                   toyota sienna le 3.5      6
toyota        sienna              toyota sienna limited 3.5     28
toyota        sienna          toyota sienna platinum 2.5 at      5
toyota        sienna                  toyota sienna xle 3.3      1
toyota        sienna                  toyota sienna xle 3.5      1
toyota        solara               toyota solara sle 3.3 v6      1
toyota        tundra             toyota tundra 1794 edition      1
toyota         veloz             toyota veloz cross 1.5 cvt     41
toyota         veloz         toyota veloz cross top 1.5 cvt     80
toyota         venza                       toyota venza 2.7     20
toyota         venza                       toyota venza 3.5      3
toyota          vios                   toyota vios 1.3 limo      1
toyota          vios                       toyota vios 1.3j      5
toyota          vios                     toyota vios 1.5 mt      1
toyota          vios                    toyota vios 1.5 trd      4
toyota          vios                       toyota vios 1.5e     58
toyota          vios                   toyota vios 1.5e cvt     26
toyota          vios                    toyota vios 1.5e mt     58
toyota          vios                       toyota vios 1.5g    112
toyota          vios                   toyota vios 1.5g cvt      2
toyota          vios                      toyota vios 1.5mt      2
toyota          vios                   toyota vios e 1.5 mt     58
toyota          vios                      toyota vios e cvt     64
toyota          vios                          toyota vios g      2
toyota          vios                  toyota vios g 1.5 cvt     93
toyota          vios                       toyota vios limo      2
toyota          vios                         toyota vios mt      1
toyota          wigo                     toyota wigo 1.2 at     14
toyota          wigo                     toyota wigo 1.2 mt      1
toyota          wigo                    toyota wigo 1.2g at     20
toyota          wigo                    toyota wigo 1.2g mt     10
toyota          wigo                   toyota wigo e 1.2 mt      2
toyota          wigo                   toyota wigo g 1.2 at     27
toyota          wish                     toyota wish 2.0 at      1
toyota         yaris                    toyota yaris 1.0 mt      1
toyota         yaris                    toyota yaris 1.3 at     43
toyota         yaris                      toyota yaris 1.3e      3
toyota         yaris                      toyota yaris 1.3g     17
toyota         yaris                    toyota yaris 1.5 at     14
toyota         yaris                      toyota yaris 1.5g     46
toyota         yaris                  toyota yaris g 1.5 at     10
toyota         yaris                 toyota yaris rs 1.5 at      3
toyota   yaris cross           toyota yaris cross 1.5 d cvt     49
toyota   yaris cross         toyota yaris cross hev 1.5 cvt      9
toyota          zace                         toyota zace dx      2
toyota          zace                         toyota zace gl     24
toyota          zace                       toyota zace surf      1
