  brand        model                                         name  count
hyundai       tucson                       hyundai tucson 2.0 ath     68
hyundai       tucson                  hyundai tucson lmx 2.0 evgt      2
hyundai       tucson     hyundai tucson n line 1.6 at turbo htrac      3
hyundai     veloster                      hyundai veloster 1.6 at      3
hyundai     veloster                  hyundai veloster 1.6 at gdi      1
hyundai        venue                      hyundai venue 1.0 t gdi      4
hyundai        venue              hyundai venue 1.0 t gdi special     11
hyundai     veracruz                      hyundai veracruz 3.0 v6      3
hyundai     veracruz                      hyundai veracruz 3.8 v6      2
hyundai        verna                         hyundai verna 1.4 at      2
hyundai        verna                         hyundai verna 1.4 mt      1
hyundai        verna                         hyundai verna 1.5 mt      1
hyundai           xg                               hyundai xg 300      1
